gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Gpr85,Tmem106b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,string:10090.ENSMUSP00000053837,string:10090.ENSMUSP00000031556,Gpr85,Tmem106b
Fezf1,Foxp2,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.145,0.209,string:10090.ENSMUSP00000031709,string:10090.ENSMUSP00000031545,Fezf1,Foxp2
Slc13a1,Asz1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.207,string:10090.ENSMUSP00000031713,string:10090.ENSMUSP00000010940,Slc13a1,Asz1
Slc13a1,Asb15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.207,string:10090.ENSMUSP00000031713,string:10090.ENSMUSP00000031696,Slc13a1,Asb15
Gpr85,Cadps2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.207,string:10090.ENSMUSP00000053837,string:10090.ENSMUSP00000018122,Gpr85,Cadps2
Ankrd7,Slc13a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.207,string:10090.ENSMUSP00000111054,string:10090.ENSMUSP00000031713,Ankrd7,Slc13a1
Fam3c,Cadps2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205,0.205,string:10090.ENSMUSP00000127709,string:10090.ENSMUSP00000018122,Fam3c,Cadps2
Foxp2,Tfec,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.168,0.204,string:10090.ENSMUSP00000031545,string:10090.ENSMUSP00000031533,Foxp2,Tfec
St7,Tfec,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.203,string:10090.ENSMUSP00000057326,string:10090.ENSMUSP00000031533,St7,Tfec
Fezf1,Cadps2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202,0.202,string:10090.ENSMUSP00000031709,string:10090.ENSMUSP00000018122,Fezf1,Cadps2
Ankrd7,Tfec,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.142,0.2,string:10090.ENSMUSP00000111054,string:10090.ENSMUSP00000031533,Ankrd7,Tfec
Asb15,Tfec,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.142,0.2,string:10090.ENSMUSP00000031696,string:10090.ENSMUSP00000031533,Asb15,Tfec
Gpr85,Tfec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,string:10090.ENSMUSP00000053837,string:10090.ENSMUSP00000031533,Gpr85,Tfec
Wasl,Lsm8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193,0.193,string:10090.ENSMUSP00000092268,string:10090.ENSMUSP00000049722,Wipf1,Lsm6
Fezf1,Tfec,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.149,0.192,string:10090.ENSMUSP00000031709,string:10090.ENSMUSP00000031533,Fezf1,Tfec
Kcnd2,Cav1,0.0,0.0,0.077848,0.0,0.0,0.0,0.0,0.088948,0.189,string:10090.ENSMUSP00000113441,string:10090.ENSMUSP00000044050,Dpp6,Dpp4
Cftr,Fezf1,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.158,0.186,string:10090.ENSMUSP00000123590,string:10090.ENSMUSP00000031709,Usp10,Fezf1
Foxp2,Wnt2,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.148,0.185,string:10090.ENSMUSP00000031545,string:10090.ENSMUSP00000010941,Foxp2,Wnt2
Mdfic,Foxp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181,0.182,string:10090.ENSMUSP00000099186,string:10090.ENSMUSP00000031545,Mdfic,Foxp2
Tfec,Wnt2,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.088,0.176,string:10090.ENSMUSP00000031533,string:10090.ENSMUSP00000010941,Tfec,Wnt2
Fam3c,Wnt16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.174,string:10090.ENSMUSP00000127709,string:10090.ENSMUSP00000031681,Fam3c,Wnt16
Cav1,Lmod2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.169,string:10090.ENSMUSP00000044050,string:10090.ENSMUSP00000031694,Dpp4,Lmod2
St7,Foxp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.169,string:10090.ENSMUSP00000057326,string:10090.ENSMUSP00000031545,St7,Foxp2
Spam1,Cav2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,string:10090.ENSMUSP00000031693,string:10090.ENSMUSP00000007799,Spam1,Cav1
Lsm8,Ndufa5,0.0,0.0,0.0,0.0,0.159,0.0,0.0,0.0,0.159,string:10090.ENSMUSP00000049722,string:10090.ENSMUSP00000023851,Lsm6,Ndufa5
Aass,Ndufa4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157,0.156,string:10090.ENSMUSP00000031707,string:10090.ENSMUSP00000031637,Aass,Ndufa4
Rnf133,Foxp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.151,string:10090.ENSMUSP00000066906,string:10090.ENSMUSP00000031545,Rnf133,Foxp2
