gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Gng5,Ptger3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.188,string:10090.ENSMUSP00000087485,string:10090.ENSMUSP00000043302,Gng5,Ptger3
Lhx8,Tnni3k,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.12,0.185,string:10090.ENSMUSP00000136047,string:10090.ENSMUSP00000070561,Lhx8,Tnni3k
Zzz3,Zranb2,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.18,string:10090.ENSMUSP00000101706,string:10090.ENSMUSP00000101678,Zzz3,Zranb2
Usp33,Prkacb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.179,string:10090.ENSMUSP00000113265,string:10090.ENSMUSP00000005164,Usp33,Prkacb
Rabggtb,Rpe65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.175,string:10090.ENSMUSP00000129481,string:10090.ENSMUSP00000029824,Rabggtb,Rpe65
Lrrc40,Rpf1,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.175,string:10090.ENSMUSP00000071956,string:10090.ENSMUSP00000029838,Lrrc40,Rpf1
Dnase2b,Dnajb4,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.107,0.174,string:10090.ENSMUSP00000029836,string:10090.ENSMUSP00000029669,Dnase2b,Dnajb4
Ttll7,Prkacb,0.0,0.0,0.0,0.0,0.171,0.0,0.0,0.0,0.171,string:10090.ENSMUSP00000129369,string:10090.ENSMUSP00000005164,Ttll7,Prkacb
Zranb2,Lrrc40,0.0,0.0,0.0,0.0,0.169,0.0,0.0,0.0,0.169,string:10090.ENSMUSP00000101678,string:10090.ENSMUSP00000071956,Zranb2,Lrrc40
Rabggtb,Acadm,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.166,string:10090.ENSMUSP00000129481,string:10090.ENSMUSP00000072483,Rabggtb,Acadm
Fpgt,Fubp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.166,string:10090.ENSMUSP00000068939,string:10090.ENSMUSP00000031613,Fpgt,Aimp2
Lhx8,Eltd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.164,string:10090.ENSMUSP00000136047,string:10090.ENSMUSP00000041939,Lhx8,Eltd1
Lphn2,Gng5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.163,string:10090.ENSMUSP00000101734,string:10090.ENSMUSP00000087485,Lphn2,Gng5
Rabggtb,Zzz3,0.0,0.0,0.0,0.0,0.162,0.0,0.0,0.0,0.162,string:10090.ENSMUSP00000129481,string:10090.ENSMUSP00000101706,Rabggtb,Zzz3
Usp33,Lrrc40,0.0,0.0,0.0,0.0,0.142,0.064,0.0,0.0,0.162,string:10090.ENSMUSP00000113265,string:10090.ENSMUSP00000071956,Usp33,Lrrc40
Zzz3,Fpgt,0.0,0.0,0.0,0.0,0.162,0.0,0.0,0.0,0.161,string:10090.ENSMUSP00000101706,string:10090.ENSMUSP00000068939,Zzz3,Fpgt
Tyw3,Rpe65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.161,string:10090.ENSMUSP00000057828,string:10090.ENSMUSP00000029824,Tyw3,Rpe65
Zzz3,Lrrc40,0.0,0.0,0.0,0.0,0.159,0.0,0.0,0.0,0.159,string:10090.ENSMUSP00000101706,string:10090.ENSMUSP00000071956,Zzz3,Lrrc40
Fpgt,Rpe65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.157,string:10090.ENSMUSP00000068939,string:10090.ENSMUSP00000029824,Fpgt,Rpe65
