gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Wdr48,Sacm1l,0.0,0.0,0.0,0.0,0.205,0.0,0.0,0.0,0.205,string:10090.ENSMUSP00000030289,string:10090.ENSMUSP00000026270,Usp1,Sacm1l
Hhatl,Azi2,0.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199,string:10090.ENSMUSP00000035110,string:10090.ENSMUSP00000030581,Hhatl,Adc
Rpl14,Eif1b,0.069,0.0,0.0,0.0,0.174,0.0,0.0,0.0,0.198,string:10090.ENSMUSP00000131489,string:10090.ENSMUSP00000007139,Rpl14,Eif1b
Itga9,Limd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.191,string:10090.ENSMUSP00000044227,string:10090.ENSMUSP00000026269,Itga9,Limd1
Scn10a,Plcd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.188,string:10090.ENSMUSP00000081845,string:10090.ENSMUSP00000010804,Scn10a,Plcd1
Cdcp1,Cck,0.0,0.0,0.0,0.0,0.0,0.104,0.0,0.128,0.185,string:10090.ENSMUSP00000042057,string:10090.ENSMUSP00000038833,Cdcp1,Ripk2
Abhd5,Acaa1b///Acaa1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.183,string:10090.ENSMUSP00000122274,string:10090.ENSMUSP00000010795,Abhd5,Acaa1b
Myd88,Cck,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.089056,0.182,string:10090.ENSMUSP00000074471,string:10090.ENSMUSP00000038833,Irak4,Ripk2
Xylb,Acaa1b///Acaa1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181,0.181,string:10090.ENSMUSP00000047254,string:10090.ENSMUSP00000010795,Xylb,Acaa1b
Ccr9,Lztfl1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.179,string:10090.ENSMUSP00000050119,string:10090.ENSMUSP00000026274,Ccbp2,Lztfl1
Zfp651,Plcd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.175,string:10090.ENSMUSP00000091286,string:10090.ENSMUSP00000010804,Zfp651,Plcd1
Ctnnb1,Trak1,0.0,0.0,0.0,0.0,0.0,0.098,0.0,0.122,0.174,string:10090.ENSMUSP00000099720,string:10090.ENSMUSP00000044482,Sestd1,Trak1
Snrk,Trak1,0.0,0.0,0.0,0.0,0.174,0.0,0.0,0.0,0.173,string:10090.ENSMUSP00000112919,string:10090.ENSMUSP00000044482,Snrk,Trak1
Azi2,Eif1b,0.0,0.0,0.0,0.0,0.144,0.0,0.0,0.074,0.173,string:10090.ENSMUSP00000030581,string:10090.ENSMUSP00000007139,Adc,Eif1b
Zfp105,Cck,0.0,0.0,0.0,0.0,0.063,0.086,0.0,0.108,0.169,string:10090.ENSMUSP00000079840,string:10090.ENSMUSP00000038833,Zfp105,Ripk2
Zfp651,Cck,0.0,0.0,0.0,0.0,0.063,0.086,0.0,0.108,0.169,string:10090.ENSMUSP00000091286,string:10090.ENSMUSP00000038833,Zfp651,Ripk2
Zfp445,Cck,0.0,0.0,0.0,0.0,0.063,0.086,0.0,0.108,0.169,string:10090.ENSMUSP00000055738,string:10090.ENSMUSP00000038833,Zfp445,Ripk2
Golga4,Zfp445,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.165,string:10090.ENSMUSP00000081880,string:10090.ENSMUSP00000055738,Golga4,Zfp445
Ctnnb1,Wdr48,0.0,0.0,0.0,0.0,0.145,0.0,0.0,0.064,0.165,string:10090.ENSMUSP00000099720,string:10090.ENSMUSP00000030289,Sestd1,Usp1
Slc6a20b,Sacm1l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.165,string:10090.ENSMUSP00000026273,string:10090.ENSMUSP00000026270,Slc6a20b,Sacm1l
Ano10,Osbpl10,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.0,0.163,string:10090.ENSMUSP00000045214,string:10090.ENSMUSP00000038013,Ano10,Osbpl10
Ccr9,Slc6a20b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.161,string:10090.ENSMUSP00000050119,string:10090.ENSMUSP00000026273,Ccbp2,Slc6a20b
Zfp445,Sacm1l,0.0,0.0,0.0,0.0,0.139,0.063,0.0,0.0,0.159,string:10090.ENSMUSP00000055738,string:10090.ENSMUSP00000026270,Zfp445,Sacm1l
Xylb,Acaa1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.158,string:10090.ENSMUSP00000047254,string:10090.ENSMUSP00000042351,Xylb,Acaa1a
Itga9,Vipr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.158,string:10090.ENSMUSP00000044227,string:10090.ENSMUSP00000035115,Itga9,Vipr1
Nktr,Azi2,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.151,string:10090.ENSMUSP00000035112,string:10090.ENSMUSP00000030581,Nktr,Adc
