GeneName, rank based on expr value 
Abca1, 9
Btk, 5
Cav1, 1
Cav3, 1
Cftr, 2
Clcn1, 2
Cnr1, 22
Emd, 25
Epas1, 20
Esrra, 1
Gap43, 1
Gnmt, 2
Hdac1, 1
Hdac2, 1
Hsf4, 22
Hspa1a, 45
Il6, 29
Lhx1, 48
Lhx8, 2
Lmna, 17
Mbnl1, 4
Mst1r, 43
Myd88, 64
Nos3, 4
Phgdh, 1
Pmp22, 1
Ppara, 1
Pthlh, 27
Rab3a, 1
Rasgrf1, 1
Rbm15, 1
Runx2, 13
Scd1, 1
Slc26a4, 3
Srf, 4
Tcf7, 24
Tgm2, 1
Zc3h12a, 38
Zfp36, 16
Zfx, 22
Average rank:13.15
